"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1879","Login with different user credentials","","2026-08-05","passed","2026-08-05","","","",""
"","1456","Verify products are displayed on inventory page","","2026-08-05","passed","2026-08-05","","","",""
"","1984","Successful login with valid credentials","","2026-08-05","passed","2026-08-05","","","",""
"","1741","Failed login with invalid credentials","","2026-08-05","passed","2026-08-05","","","",""
"","1320","Sort products by price low to high","","2026-08-05","passed","2026-08-05","","","",""
"","1399","Add a product to cart","","2026-08-05","passed","2026-08-05","","","",""
"","1773","Login with different user credentials","","2026-08-05","passed","2026-08-05","","","",""
"","1314","Login with different user credentials","","2026-08-05","passed","2026-08-05","","","",""
