"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1017","Login with different user credentials","","2026-08-06","passed","2026-08-06","","","",""
"","1413","Add a product to cart","","2026-08-06","passed","2026-08-06","","","",""
"","1583","Failed login with invalid credentials","","2026-08-06","passed","2026-08-06","","","",""
"","1254","Verify products are displayed on inventory page","","2026-08-06","passed","2026-08-06","","","",""
"","1198","Sort products by price low to high","","2026-08-06","passed","2026-08-06","","","",""
"","1678","Login with different user credentials","","2026-08-06","passed","2026-08-06","","","",""
"","1531","Login with different user credentials","","2026-08-06","passed","2026-08-06","","","",""
"","1979","Successful login with valid credentials","","2026-08-06","passed","2026-08-06","","","",""
